"utterance","keywords","relevances"
"借りました。","",""
"借りました。いらっしゃいませはいこちらの自動機能についてなんですけれどもビーチやあの雪景色などを撮影できるモードが18種類ございます後補正効果というものもありましてこちらは肌をより綺麗に見せたり目を大きく見せたり小顔に見せるというような効果がございます","補正効果;効果;自動機能;ビーチ;モード;小顔;目;肌;雪景色;もの;18","0.13329359889030457;0.12023798376321793;0.1103200688958168;0.1103200688958168;0.100094273686409;0.09622995555400848;0.09434515982866287;0.09249156713485718;0.0811828002333641;0.061484530568122864;0.0"
"借りました。じゃあこれでお願いします。","",""
"借りました。すいませんこちらの自動機能についてですけれどもビーチは雪景色などを撮影できる18種類の撮影モードというものがございますまた補正効果というものはありましてこちらは肌を綺麗に見せたりとか目を大きく見せたり小顔に見せたりというようなあの機能がございます","自動機能;機能;もの;ビーチ;雪景色;補正効果;小顔;目;撮影モード;もの;肌;18","0.13068996369838715;0.10731687396764755;0.1042671874165535;0.0983746200799942;0.0983746200799942;0.08917190134525299;0.08569872379302979;0.08070486038923264;0.07751614600419998;0.0744403824210167;0.053444717079401016;0.0"
"借りました。解像度はどれぐらいですか","解像度","1.0"
"借りましたえーっと持ち運びも一番飼いやすいようですね","持ち運び;一","1.0;0.0"
"借りましたお願いします","",""
"借りましたちょいしとるんやったらあっちの方がちょっと向いてますかねこれいただきます","方","1.0"
"借りましたねしゃいませんお客様ご案内いたしますこちらのフォトプリントになりますそうなんですがこちらの方に USB を差し込んでいただく形になります","客;USB;方;形;フォトプリント","0.23283100128173828;0.20984205603599548;0.20348390936851501;0.17910689115524292;0.1747361421585083"
"借りましたよちょっと今日はちょっとやめときますはい","",""
"借りました願いします。","",""
"借金先ほど申しましたけど ISO 値が6400ありますあとはそうですね解像度も22.3メガピクセルとなっておりますでそして後は自動機能が付いておりませんので他のにしんであのピントなど合わせていただく必要があるというところがちょっと違うところ","値;ISO;借金;ピント;必要;ピクセル;他;ところ;解像度;自動機能;6400;22.3","0.12908247113227844;0.1282903552055359;0.11680837720632553;0.11339985579252243;0.10024234652519226;0.08946480602025986;0.08579052239656448;0.08434949815273285;0.08363492041826248;0.06893684715032578;0.0;0.0"
"値段いくらでしたっけこれ","値段","1.0"
"値段がそんなに違うんですね。","値段","1.0"
"値段がそんなに違うんですね。値段的にはこっちだけど。ちょっといいカメラでこれからずっと持ちたいなあと思う。思うし。ちょっと今日一晩考えてまた明日来るようにしますすみませんありがとうございます丁寧に説明していただいて","値段;カメラ;一","0.7920234799385071;0.20797652006149292;0.0"
"値段がちょっとあれですね。","値段","1.0"
"値段がですね。","値段","1.0"
"値段っていくらぐらい","値段","1.0"
"値段っていくらぐらいですか？","値段","1.0"
"値段って高いですかね。","値段","1.0"
"値段の6800円となっておりますはい","値段;6800円;6800","1.0;0.0;0.0"
"値段のほうはどれくらい","値段;ほう","0.5628650784492493;0.43713492155075073"
"値段は20万円ちょっと上がりますけれどもはい","値段;20万円;20万","1.0;0.0;0.0"
"値段は55000円となってます。","値段;55000円;55000","1.0;0.0;0.0"
"値段は6800円だ。","値段;6800円;6800","1.0;0.0;0.0"
"値段は6800円だったんじゃない。","値段;6800円;6800","1.0;0.0;0.0"
"値段は6800円となってます。","値段;6800円;6800","1.0;0.0;0.0"
"値段は6800円になります。","値段;6800円;6800","1.0;0.0;0.0"
"値段は、","値段","1.0"
"値段はいくらぐらいですか？","値段","1.0"
"値段はいくらぐらいなんですか？","値段","1.0"
"値段はいくらですか？","値段","1.0"
"値段はいくらになりますか？","値段","1.0"
"値段はおいくらですか？","値段","1.0"
"値段はどのくらいなんですか？","値段","1.0"
"値段はどれくらいなんでしょうか。","値段","1.0"
"値段はどれくらいに","値段","1.0"
"値段はどれぐらいですかねあーでもやっぱりアイリスオート川崎のカメラよりかはいいですかね","値段;カメラ;あー;アイリスオート川崎","0.31438660621643066;0.2500591576099396;0.22875690460205078;0.20679731667041779"
"値段はどれぐらいですか？","値段","1.0"
"値段はどれぐらいになりますか？","値段","1.0"
"値段はどれぐらいになるんです。","値段","1.0"
"値段はどれぐらいのプロ仕様ですねなんか昨日とかはどういうのがあるんですか","値段;プロ仕様","0.5628650784492493;0.43713492155075073"
"値段はどれぐらいまでなるんですか？","値段","1.0"
"値段はね55000円ですはい結構高いですね","値段;55000円;55000","1.0;0.0;0.0"
"値段は重さも。違うので悩みますね。","値段;重さ","0.5222851037979126;0.4777148962020874"
"値段は重さも。違うので悩みますね。絵文字同士もないと大変綺麗に撮れる自信もちょっとないんですけどでも行ってみたい気持ちもあって","値段;重さ;気持ち;絵文字同士;自信","0.34311211109161377;0.34311211109161377;0.13061761856079102;0.1038416251540184;0.07931652665138245"
"値段も6800円足りません。","値段;6800円;6800","1.0;0.0;0.0"
"値段もしっかりしてますので、","値段","1.0"
"値段も凄いいつもしないんですね。","値段","1.0"
"値段も結構安いですよね。","値段","1.0"
"値段も結構違うんですかね。","値段","1.0"
"値段ドコモ高い金","値段ドコモ;金","0.5376933217048645;0.4623066782951355"
"値段的にはこっちだけど。ちょっといいカメラでこれからずっと持ちたいなあと思う。思うし。ちょっと今日一晩考えてまた明日来るようにしますすみませんありがとうございます丁寧に説明していただいて","カメラ;一","1.0;0.0"
"値段結構高くなりますか？","値段","1.0"
"僕は6800円となってる。","6800円;6800","0.0;0.0"
"僕みたいな初心者でも負けて出てきてとっても綺麗に撮れ","初心者","1.0"
"僕ガキいますできて","",""
"儚くて。","",""
"優しい色になっとる。","色","1.0"
"元々ついてないですか。","",""
"元の湧水","元;湧水","0.5449713468551636;0.4550286531448364"
"元の湧水自動機能って何ですか？","元;自動機能","0.5608628392219543;0.43913716077804565"
"元田の高い機種のあれそっちが高い機種もあるんですけどこちらではまあそこそこいけると思いますもっと高いのがほしいって言うなら1番レフカメラの方になるんですけど","機種;元田;あれそっち;レフカメラ;方;1","0.3493811786174774;0.18881849944591522;0.16447405517101288;0.16342204809188843;0.13390424847602844;0.0"
"兄弟でおちゃんとショット撮るとき雨大きなでもいいのかもしれないけど。","兄弟","1.0"
"先に行ってとかで解像度だったでもすごくいいんですかね","",""
"先ほどあちらのカメラで。その拡大金レンズをつければ遠くまで撮れるとかそういう話があったんですけどこちらはそういう機能は","カメラ;拡大金レンズ;話;機能","0.378055214881897;0.25419262051582336;0.197812020778656;0.16994014382362366"
"先ほどあの自動機能の話があったんですけどもそこちょっと詳しく聞いてもいいですかね","話;自動機能","0.5159313082695007;0.48406869173049927"
"先ほどありがとうございますもちろん色はこの画像の黒以外には何があるんですか","色;画像;黒","0.3877473473548889;0.30612632632255554;0.30612632632255554"
"先ほどが6800円でしたっけ。なんかちょっとさっきのお値段を聞くとこれが急に高くなったかなっていう感じがしちゃうんですけどそれだけアリス音が上がるんですか？","先ほど;アリス音;感じ;値段;6800円;6800","0.444853812456131;0.19682572782039642;0.18985578417778015;0.16846467554569244;0.0;0.0"
"先ほどその持ち運びに便利なそのコンパクトサイズのカメラがあるって聞いたんですけどそちらもみてもいいですかね","持ち運び;カメラ;コンパクトサイズ","0.38968154788017273;0.31856706738471985;0.2917513847351074"
"先ほどと同じく撮影モードありましてちょっとあっちよりは宿題少ない種類なんですけど9種類となっておりますはいてあちらにない機能としましてはピクチャーエフェクト機能というもので背景をぼやかしたりとか水墨画水彩画のようにしたりとかだと8ポスターのようなあの背景にしたりとかして、少し映像で楽しんでいただける機能がついており、","背景;撮影モード;機能;ピクチャーエフェクト機能;映像;宿題;ポスター;もの;水墨画水彩画;9;8","0.21088258922100067;0.12030559033155441;0.11723364889621735;0.11476915329694748;0.11208774894475937;0.0934264212846756;0.08063425868749619;0.07662734389305115;0.0740332379937172;0.0;0.0"
"先ほどと比べるとやっぱちょっとしっかりしたぶん重さは470 G になっております。","ぶん重さ;470","1.0;0.0"
"先ほどの18種類あるとあのもしたんですけどこちらの方も19種類モードがございますあと違う点がピクチャーエフェクトっていう機能がありましてねこちらはあの水彩画のように見せたり写真をぼやかしたり後ポスターのように大きく引き伸ばしたりということができるのがこちらのカメラになっております","先ほど;方;機能;写真;ポスター;モード;点;カメラ;ピクチャーエフェクト;水彩画;18;19","0.14551645517349243;0.1202213391661644;0.11051899194717407;0.10313764214515686;0.10313764214515686;0.09188313037157059;0.09188313037157059;0.08941727876663208;0.0728316679596901;0.07145270705223083;0.0;0.0"
"先ほどのお安かったカメラには愛想がついていない。でもあり、演出家にもそんなになんかやっけどっか取らなく。体だったら別に愛想なくてもいるぐらいなんですかね解像度がいいのがいいかなと思ったけどまぁそんなに何時から引き伸ばすとかじゃなかったら","カメラ;先ほど;愛想;演出家;解像度;体;別","0.2638171315193176;0.2222137600183487;0.2222137600183487;0.08830726891756058;0.07054474949836731;0.06645166128873825;0.06645166128873825"
"先ほどのが9種類あったんですがこちらは18種類とさらにいろんなパターンの建物がついてますのでそちらもまきあのギアス気軽に色んなシーンで取っていただける機能が付いてますね","先ほど;シーン;機能;ギアス;建物;パターン;9;18","0.2256830632686615;0.16332612931728363;0.16208644211292267;0.15717527270317078;0.1499568372964859;0.14177224040031433;0.0;0.0"
"先ほどのでしたら3色ありましてはい白とシルバーもございます","シルバー;白;3","0.5052923560142517;0.4947076737880707;0.0"
"先ほどのと比べると倍ぐらいの重さにはなってきますがはいそうですねはい","先ほど;重さ;倍","0.3881837725639343;0.32118621468544006;0.2906300127506256"
"先ほどのカメラと違ってこちらは郵送てないといった機能でしょうか","先ほど;カメラ;機能","0.35503867268562317;0.35503867268562317;0.28992265462875366"
"先ほどのカメラにもある自動機能ってあったと思うんですけどそのカメラとは何か違う特徴があるんですかね","カメラ;先ほど;特徴;自動機能","0.4091050922870636;0.22271721065044403;0.1952756941318512;0.17290201783180237"
"先ほどのコンパクトカメラからするとマがっしりしてるますのでも普段使いっていうよりは今日は取りに行くぞっていう気持ちでま持ち出していただくような感じにはなるかと思うんですけどこちらもまぁ趣味で始める方もいきなり一眼レフじゃなくてこちらからスタートされる方もいらっしゃいます","マ;先ほど;コンパクトカメラ;方;方;一眼レフ;趣味;気持ち;感じ","0.15187661349773407;0.12771424651145935;0.12771424651145935;0.12388892471790314;0.11733029782772064;0.09719382226467133;0.09393058717250824;0.08917409181594849;0.07117718458175659"
"先ほどのコンパクトカメラに待った撮影モードというものがあるんですけど千葉こちら9種類ありますちょっと違いとしてはピクチャーエフェクトってものがありまして電話の背景をぼやかしたりパスタのように大きく引き伸ばしたり水彩画のようにあるの写真を撮ることができますのでもうちょっとプロプロイカの写真をとるようなことができる","写真;撮影モード;もの;もの;先ほど;コンパクトカメラ;千葉;水彩画;プロプロイカ;ピクチャーエフェクト;電話;背景;パスタ;9","0.1400260329246521;0.0970078632235527;0.09401378780603409;0.08674954622983932;0.08674640953540802;0.08674640953540802;0.08194327354431152;0.062430307269096375;0.060743145644664764;0.05909035727381706;0.05909035727381706;0.04270625486969948;0.04270625486969948;0.0"
"先ほどのミラーレスの方にはそういう機能はないですね。","先ほど;ミラーレス;方;機能","0.31111931800842285;0.27743253111839294;0.22637952864170074;0.18506862223148346"
"先ほどの一眼レフは20万円だねそっからかけてすごく安く見えますよ","先ほど;一眼レフ;20万円;20万","0.5;0.5;0.0;0.0"
"先ほどの値段聞いてなかったんですけどもあれはおいくらですか","先ほど","1.0"
"先ほどの児童書の自動機能ですけれども先ほどもあの撮影モードがあるとあの話したんですけれどもこちらは9種類ございますあと先ほどと違うのはピクチャーエフェクトというのがありましてこちらは背景をぼやかしたり風景画水彩画のように取ったりあとはあのポスターのように大きく引き伸ばしというようなこともできる機能が付いております","先ほど;機能;児童書;自動機能;撮影モード;ポスター;風景画水彩画;こと;ピクチャーエフェクト;背景;9","0.14471665024757385;0.11902683973312378;0.11630883812904358;0.11363112926483154;0.11097891628742218;0.08801240473985672;0.08500592410564423;0.08279787749052048;0.08063019067049026;0.058891233056783676;0.0"
"先ほどの半分ぐらいになります。","先ほど;半分","0.5384220480918884;0.4615779519081116"
"先ほどの方で耳がある方がひっくり返してもら、船間形でただ差し込んでいただいたら、押しましたら画面上に印を消すための写真が出て参りますのでこちらでよろしかったら印刷ボタンで押していただけますか","方;耳;写真;方;先ほど;船間形;画面;印刷ボタン;印","0.14500023424625397;0.13033024966716766;0.12763473391532898;0.12674468755722046;0.11793751269578934;0.10121133923530579;0.09961216896772385;0.09032630175352097;0.06120277941226959"
"先ほどの違いは自動機能が一切ありませんのでお客様の方でピント合わせていただくというマニュアル作用になったり","違い;先ほど;自動機能;客;マニュアル作用;方","0.20507723093032837;0.20006494224071503;0.1925869882106781;0.14734973013401031;0.14399820566177368;0.11092289537191391"
"先ほどの雷家は良くないところですかね。","先ほど;雷家","0.5222851037979126;0.4777148962020874"
"先ほどは黒子は好きなのでブラックの色で買いたいですこちら","黒子;ブラック;色","0.3911380171775818;0.3395930528640747;0.2692689299583435"
"先ほどもないしね。","",""
"先ほどよりは少し下がるんですよね。","",""
"先ほど見ていただいたよりね。急にお安くなったの。求めいただきやすい初心者向けになったの今。","初心者","1.0"
"先ほど言ってたコンパクトカメラはもうあの今持ってる470 G ですけど120 G という大変コンパクトなので、普段使いにはあの未婚の方もよく出ております。","方;コンパクトカメラ;未婚;普段使い;470;120","0.3213271498680115;0.2652058005332947;0.2365545630455017;0.17691245675086975;0.0;0.0"
"先ほど記述的な部分っていうところなんですけど、解像度はすごくいいんですか？","部分;解像度","0.5404881238937378;0.4595118761062622"
"先ほど黒い点だったんですがこちら3色ありまして黒とシルバーと白とございません","黒い点;白;シルバー;黒;3","0.2725673019886017;0.2706807851791382;0.2631821036338806;0.1935698240995407;0.0"
"先ミラーレス一眼レフですけどこっちは良かったりするんです","先ミラーレス一眼レフ","1.0"
"先生","先生","1.0"
"先生、色紙誰かほせいこかあったら嬉しいですね。","先生;色紙誰かほせいこ","0.5925036072731018;0.4074963927268982"
"先生こんにちは。","先生","1.0"
"先生一覧のソニーのカメラは解像度としまして24メガピクセルついておりますのでたいへん鮮明なものが撮影できますね","ソニー;カメラ;先生一覧;もの;解像度;24","0.2321375161409378;0.22568316757678986;0.21556930243968964;0.17331935465335846;0.15329065918922424;0.0"
"光","光","1.0"
"光学ズームっていうのは何でしょうか。","光学ズーム","1.0"
"光学ズームっていうのは普通の全部とかと違うんですかね。","光学ズーム","1.0"
"光学ズームって何ですかね？","光学ズーム","1.0"
"光学ズームって何なんですかね？","光学ズーム","1.0"
"光学ズームできますか？","光学ズーム","1.0"
"光学ズームですか光学ズームの説明につきましてはあの別のものから説明をさせて頂きますで少々お待ちくださいすいません8ニコンのカメラの光学ズームの説明をお願いします。","説明;光学ズーム;カメラ;別;もの;8","0.3607906699180603;0.3307619094848633;0.11042839288711548;0.09900951385498047;0.09900951385498047;0.0"
"光学ズームとかっていうのは何なんでしょう。","光学ズーム","1.0"
"光学ズームとかはどんな感じなんですか？","光学ズーム;感じ","0.5530768632888794;0.4469231367111206"
"光学ズームとかもあったりするんですか？","光学ズーム","1.0"
"光学ズームとかも付いてたら便利ですか？","光学ズーム","1.0"
"光学ズームとか自動機能っていうのはどういうものなんですか？","自動機能;光学ズーム;もの","0.35273122787475586;0.32944628596305847;0.31782248616218567"
"光学ズームと自動機能詳細を知りたいもし私が少しあの詳細の説明がちょっと出来かねますので、詳しい係りの者と変わらずさせて頂きます少々お待ちしますか。店長すいませんニコンのカメラの光学ズームと自動機能についての説明お願い致します","光学ズーム;自動機能詳細;詳細;説明;係り;者;自動機能;ニコン;カメラ;店長","0.23384669423103333;0.14877258241176605;0.12899616360664368;0.10102525353431702;0.08288998901844025;0.08288998901844025;0.06368587911128998;0.05793425068259239;0.05096966028213501;0.048989564180374146"
"光学ズームについては5倍まで可能となっておりますあとこの文を取るためのモードをですねはい","光学ズーム;モード;文;5","0.4140687584877014;0.3303799033164978;0.2555513381958008;0.0"
"光学ズームについても教えてください。","光学ズーム","1.0"
"光学ズームについて何ですけどもこれどこまで","光学ズーム","1.0"
"光学ズームにつきましては、最大5倍まで普通も可能となってます。","光学ズーム;5","1.0;0.0"
"光学ズームのおっことをお聞きになった。","光学ズーム;おっこと","0.5628650784492493;0.43713492155075073"
"光学ズームのついている","光学ズーム","1.0"
"光学ズームは5倍までついてありますので離れていても遠くのものを近くで撮影したりとかできる機能がついておりますねはい","光学ズーム;機能;もの;近く;5","0.33263590931892395;0.27162864804267883;0.1978677213191986;0.1978677213191986;0.0"
"光学ズームはそうですねあの遠くのものをまず近くに映るようにして摂るもので5倍5倍までズームすることができます","光学ズーム;もの;遠く;もの;近く;5;5","0.2553742229938507;0.20719365775585175;0.1920546293258667;0.19080986082553864;0.1545676290988922;0.0;0.0"
"光学ズームはそうですねまもまあその名の通りマズムする機能で5倍までズーム可能だってはいはい","光学ズーム;ズーム;名;機能;5","0.33496934175491333;0.2827892005443573;0.2103099524974823;0.17193150520324707;0.0"
"光学ズームはどれぐらいですか？","光学ズーム","1.0"
"光学ズームは何倍ですか？","光学ズーム","1.0"
"光学ズームもあの遠くの物を取るための機能でそうですねと遠くの物を近くに見せるようなそういうのって全部で5秋的には5倍まで可能となってます。","遠く;物;光学ズーム;物;機能;全部;5;5","0.2038349211215973;0.18765592575073242;0.17148494720458984;0.15452532470226288;0.15035587549209595;0.13214300572872162;0.0;0.0"
"光学ズームも教えてください。","光学ズーム","1.0"
"光学ズームを教えてください。","光学ズーム","1.0"
"光学ズーム教えてください。","光学ズーム","1.0"
"光沢ありか光沢なしかどちらにされますか？","光沢ありか光沢","1.0"
"光沢ありで","光沢あり","1.0"
"光沢ありでお願いします。","光沢あり","1.0"
"児童知能ってどういう感じですか？","児童知能;感じ","0.5676068067550659;0.4323931932449341"
"入ったこちらでお願いします。","",""
"入ったぞ。","",""
"入ったばかり4で参りますので、少々お待ちくださいませ。フォトプリントの使用方法から願いします。","使用方法;フォトプリント;4","0.5518094301223755;0.4481905698776245;0.0"
"入ったまたご利用ください。","",""
"入ったよろしかったデコ住人ハイご覧ください。","デコ住人ハイ","1.0"
"入ったらご案内いたします。こちらがフォトプリントになりますその使用方法についてはかかり4で参りますのではいお待ちくださいませぺんちゃんすいません本当に届け様来られてますお願いします","フォトプリント;ぺんちゃん;使用方法;4","0.3661228120326996;0.3517163097858429;0.2821608781814575;0.0"
"入ったらどうぞ。","",""
"入ったら撮影モードってものがありましてこちらはお客様とる場所ビーチアイ雪山でしたりあのこういうでしたりその撮影シーンに合わせて切り替えていただくとより綺麗に写真が撮れるようになっておりますあともう一点ピクチャーエフェクトというのがあるんですけれどもこれはあの背景をぼかしたりハンド写真をひきに大きく引き伸ばしたりそういうことができるようになっております","もの;撮影モード;ハンド写真;ビーチアイ;写真;場所;雪山;背景;客;撮影シーン;ピクチャーエフェクト","0.12131032347679138;0.10892268270254135;0.10551668703556061;0.10308937728404999;0.09726487100124359;0.09250533580780029;0.0886576697230339;0.08200301229953766;0.07638534903526306;0.06976085901260376;0.054583825170993805"
"入ったら頂戴いたしますでは出来上がりましたらご連絡させていただきますのでまたその時に取りに来ていただければ出来上がっておりますありがとうございました","",""
"入ったら頂戴しますねではいけないしたいお電話させて頂きますのでまたご来店お願いします","",""
"入った人を撮るカメラでなるほどカメラとかはよく使われたり閉まりますか？","カメラ;人","0.5598236322402954;0.4401763379573822"
"入った大根の葉を確認してまいります。少しお待ちください。違うねはいこちら","大根;葉","0.5222851037979126;0.4777148962020874"
"入った店長に帰ります。","店長","1.0"
"入った鍵がないか確認しますお待ちください","鍵","1.0"
"入っちゃうここにお願いします","",""
"入ってあるんですがまず撮影モードこちらはお客様が行かれた先々のシーンによって場所によってあのモードを切り替えるとより綺麗な写真が撮れます後補正効果というものがありましてこれは人の肌を綺麗に見せたり目を大きく見せたり猫顔に見せたりとあの12種類の補正をすることができます","撮影モード;補正;客;先々;モード;猫顔;人;肌;目;写真;シーン;場所;補正効果;もの;12","0.1186833381652832;0.09481595456600189;0.07943752408027649;0.07943752408027649;0.07339450716972351;0.07017731666564941;0.06768053025007248;0.06645701825618744;0.06645701825618744;0.06405969709157944;0.06002315133810043;0.06002315133810043;0.05305551365017891;0.04629773646593094;0.0"
"入っていますみかんの黒のハイお求めの客様いらっしゃいませ","みかん;客;黒;ハイお求め","0.29629430174827576;0.2642844617366791;0.24177037179470062;0.19765086472034454"
"入っているニコンのコンパクトデジタルカメラがございますそちらをご覧になられますか？","ニコン;コンパクトデジタルカメラ","0.5556398630142212;0.4443601071834564"
"入ってお菓子は紫になりますねはいだからいけんから","菓子;けん;紫","0.3839235305786133;0.3377103805541992;0.2783660590648651"
"入ってお願いします。","",""
"入ってこちらの印刷ボタンを押すと明日になくてねはい1分ほどで出来上がりますので店内で少しお待ちください","印刷ボタン;店内;1","0.5200231075286865;0.4799768924713135;0.0"
"入ってこちらはソニーのものはミラーレスの一眼になりまして少し。色々機能が","ソニー;もの;ミラーレス;一眼;機能","0.2691326439380646;0.21027027070522308;0.20709989964962006;0.18709857761859894;0.12639860808849335"
"入ってございましたのでこちらのピンクとなっております","ピンク","1.0"
"入ってございます。","",""
"入ってございます。 お待たせいたしましたニコン COOLPIX の BLACK になりますありがとうございました。","BLACK;ニコン COOLPIX","0.5274797677993774;0.47252023220062256"
"入ってございます現場の方が2時間ほどで仕上がりますのでまたのご用意できましたらこちらの方にご連絡させていただきます","方;現場;方;2","0.35003891587257385;0.33216753602027893;0.3177935481071472;0.0"
"入ってしましたミラーレス一眼カメラがございますのではいご案内いたしますこちらになります Sony Alpha A 6000という商品になっておりますもう見た目がもうちょっと随分本格的なかっこいいカメラになっております。","ミラーレス一眼カメラ;カメラ;見た目;Sony Alpha A 6000;商品;6000","0.25292453169822693;0.21299420297145844;0.18338261544704437;0.17542430758476257;0.1752743422985077;0.0"
"入ってすいませんお尻もお預かりいたします","お尻","1.0"
"入ってすいませんどうやってでもお預かり致します","",""
"入ってとうございました。","",""
"入ってない。","",""
"入っては USB を忘れずにお持ち帰りください。","USB","1.0"
"入っては2時間程で出来上がりますのでまた出来上がりましたお電話差し上げます","2","0.0"
"入っては30分ほどで仕上がりますので後ほどまた笑っていただきましたらお渡しできますのでご用意しておきますはいありがとうございます","30","0.0"
"入ってはお預かりします2時間少々お時間頂戴致しますので出来上がりましたらお電話差し上げますご都合のよい時にご来店ください","都合;2","1.0;0.0"
"入っては寺のニコンのカメラを進めさせていただきます。ニコンのクールピクス S 2800点ものでドラマコンパクトカメラになっておりますはいですのであの大変か持ち運びやすくて人物とかを撮影しやすいものとなっております","ニコン;カメラ;寺;ニコン;もの;人物;ドラマコンパクトカメラ;2800","0.23799726366996765;0.22175860404968262;0.1846889704465866;0.10858302563428879;0.09424582868814468;0.08605779707431793;0.06666851788759232;0.0"
"入っては寺の方でお待ちください。","方;寺","0.509920597076416;0.4900793731212616"
"入ってますかねすいませんはいはいこちらの解像度は20.1メガピクセルになっております","解像度;20.1","1.0;0.0"
"入ってませんこちらソニーの黒になりますのではい","ソニー;黒","0.5907642841339111;0.40923571586608887"
"入ってませ入ってこちらはニコンのカメラですねチルノ補正効果としましては12の補正効果がございまして、例えばが肌をきれいにしたりとか顔小さくしたりとか目を大きくしたりとか言うちょっとあのちょっと干してもらえる効果がありますので、女性の方に大変喜ばれております。","補正効果;効果;ニコン;カメラ;肌;女性;方;顔;目;12","0.23640812933444977;0.14212484657764435;0.12543494999408722;0.09737212210893631;0.08742047846317291;0.08668272942304611;0.08668272942304611;0.07953029870986938;0.05834372714161873;0.0"
"入っても預かりしますねそれはこちら名前と電話番号のご記入お願いします","電話番号;名前","0.5101061463356018;0.4898938536643982"
"入ってらっしゃいませ8オンス重さと解像度が低解像度を知りたいということでよろしいでしょうか。","低解像度;解像度;こと;8","0.3527168929576874;0.3396047353744507;0.30767837166786194;0.0"
"入ってるということあの結構いいカメラが欲しかったりするなるほどそうです自動カメラ起動昨日みたいなが欲しかったりしますか","カメラ;自動カメラ起動","0.5215875506401062;0.4784124493598938"
"入ってるんだけどですねではお昼間お預かりしますではお手数ですがお名前と電話番号ご記入お願いしますはいありがとうございます出来上がりましたらお電話をさせて頂きます大体出来上がるまで2時間ぐらいだとは思いますではお預かりしておきます","電話;手数;名前;電話番号;2","0.3353971242904663;0.22153429687023163;0.22153429687023163;0.22153429687023163;0.0"
"入って夜景を撮る時にもうこの ISO というものがありましてでこちらの機能はの少ない光でもあの背景を含め夜景が綺麗に取れる取れますのであのこちらの方は適してるかと思います","夜景;ISO;もの;方;機能;背景","0.33424875140190125;0.16418026387691498;0.1477731615304947;0.132254958152771;0.12177841365337372;0.09976444393396378"
"入って本体のみで950 G になっておりません。","本体;950","1.0;0.0"
"入って私が説明別のものに変わりますお待ち下さいすいませんこちらのカメラのご説明お願いします","カメラ;もの","0.5222446918487549;0.4777553081512451"
"入って送らなカメラはい、太鼓確認してまいります。配当が3にならないカメラになりますのでいただいました。","カメラ;太鼓;配当;3","0.5039501190185547;0.31531602144241333;0.18073387444019318;0.0"
"入らせません。","",""
"入らないかの確認させていただきますがおいらの方はさせていただきましょうかね黒で払いでお願いしますね","方;払い;黒","0.40260180830955505;0.3022949695587158;0.2951032221317291"
"入らないかの確認させていただきますがおいらの方はさせていただきましょうかね黒で払いでお願いしますねうんちはこちらのソニーの黒ございましたのでお待ちください。","方;ソニー;黒;払い","0.3340347409248352;0.2682855725288391;0.22208139300346375;0.17559829354286194"
"入りました。","",""
"入りました。しませんはいこちらなんですけれども今日はの光学ズームがございまして5倍まで可能になっております","光学ズーム;5","1.0;0.0"
"入りました。召しませ。","",""
"入りまして赤ピンク紫それから定番の黒とシルバーがございます","シルバー;黒;赤ピンク紫;定番","0.2782776951789856;0.2710507810115814;0.24796029925346375;0.20271120965480804"
"入るわねこちらは一色黒い食なんですはい","食","1.0"
"入れたございません2時間ぐらいで現像ができますのでできましたらの電話のお電話の方を差し上げますはいいたします","電話;方;電話;現像;2","0.2949165105819702;0.25171995162963867;0.2290676087141037;0.22429592907428741;0.0"
"入れた少し詳しいことはあの上のものがありますお待ちくださいません店長17カメラの解像度のご説明お願いします","こと;上;もの;解像度;店長;17","0.2304547131061554;0.22458451986312866;0.20011261105537415;0.19870275259017944;0.14614541828632355;0.0"
"入れた重さが8本体のみで950 G になったります。","重さ;8;950","1.0;0.0;0.0"
"入れて。","",""
"入れててもそんなに重たさを感じない120 G となっております。","重たさ;120","1.0;0.0"
"入れ物は別になりますはいとても安いですねはい","入れ物;別","0.5473893880844116;0.4526106119155884"
"入れ直し。つまりました。","",""
"全くちょっとカメラ分からないんですけれども、撮った写真をあのスマホにあげたりまたそこに入れたりっていう機能も簡単にできるんですか","機能;スマホ;写真","0.45576706528663635;0.2787286341190338;0.26550430059432983"
"全くてないわけじゃないんですけど、静かに入ったよ。","",""
"全くカメラのこと分からないんですけれども。簡単に撮れてまあ普通に画像が良ければそれでいって感じなんですけどもはい","カメラ;画像","0.7087962031364441;0.2912038266658783"
"全くカメラよくわからないんですけどもうちょっとまず遊びに行った時に気軽に持っていけるまゆか全くわからないんでお兄さんのおすすめのカメラでいいですけどもはい","カメラ;おすすめ;兄さん","0.485044002532959;0.26086536049842834;0.25409063696861267"
"全く初心者でよくわからないんですけど聞いてでもピントはなかなか来ないんですけどなんかかっこいいですね","初心者;ピント","0.6037002801895142;0.39629971981048584"
"全てねこちらは手動設定なのでその子に合わせていただいたりとかいう機能は付いてないのでご自身でそれぞれピント合わせていただいたりとかしていただくので四コマカメラに慣れた方の方が使いこなせるかなと思いますね","方;手動設定;方;機能;カメラ;四","0.26345473527908325;0.21061193943023682;0.2001354843378067;0.16350433230400085;0.16229352355003357;0.0"
"全て手動ですか。コリンズはいろんなレンズ付け替えられるんですよね。","手動;コリンズ","0.6392325162887573;0.3607674539089203"
"全て手動ですね。","手動","1.0"
"全然あのカメラに詳しくないんでわからないんですけどこちらでも普通に綺麗に撮れるんで","カメラ","1.0"
